TYPE,OP,DST,SRC1,SRC2,IMM,Description,ACTION
ALU,ADD.INT,GR,GR,GR,X,DST = SRC1 + SRC2,ADD SRC1 SRC2
ALU,SUB.INT,GR,GR,GR,X,DST = SRC1 - SRC2,SUB SRC1 SRC2
ALU,MUL.INT,GR,GR,GR,X,DST = SRC1 * SRC2,MUL SRC1 SRC2
ALU,DIV.INT,GR,GR,GR,X,DST = SRC1 / SRC2,DIV SRC1 SRC2
ALU,ADD.INT.IMM,GR,GR,X,VALUE,DST = SRC1 + IMM,ADD SRC1 IMM
ALU,SUB.INT.IMM,GR,GR,X,VALUE,DST = SRC1 - IMM,SUB SRC1 IMM
ALU,MUL.INT.IMM,GR,GR,X,VALUE,DST = SRC1 * IMM,MUL SRC1 IMM
ALU,DIV.INT.IMM,GR,GR,X,VALUE,DST = SRC1 / IMM,DIV SRC1 IMM
SFU,MAC.INT,GR,GR,GR,X,DST += SRC1 * SRC2,MAC SRC1 SRC2
SFU,MAC.INT.IMM,GR,GR,X,VALUE,DST += SRC1 * IMM,MAC SRC1 IMM
ALU,AND,GR,GR,GR,X,DST = SRC1 & SRC2,AND SRC1 SRC2
ALU,OR,GR,GR,GR,X,DST = SRC1 | SRC2,OR SRC1 SRC2
ALU,XOR,GR,GR,GR,X,DST = SRC1 ^ SRC2,XOR SRC1 SRC2
ALU,SFL,GR,GR,GR,X,DST = SRC1 << SRC2,SHL SRC1 SRC2
ALU,SFR,GR,GR,GR,X,DST = SRC1 >> SRC2,SHR SRC1 SRC2
ALU,CMP,GR,GR,GR,X,DST = SRC1 == SRC2,CMP SRC1 SRC2
ALU,AND.IMM,GR,GR,X,VALUE,DST = SRC1 & IMM,AND SRC1 IMM
ALU,OR.IMM,GR,GR,X,VALUE,DST = SRC1 | IMM,OR SRC1 IMM
ALU,XOR.IMM,GR,GR,X,VALUE,DST = SRC1 ^ IMM,XOR SRC1 IMM
ALU,SFL.IMM,GR,GR,X,VALUE,DST = SRC1 << IMM,SHL SRC1 IMM
ALU,SFR.IMM,GR,GR,X,VALUE,DST = SRC1 >> IMM,SHR SRC1 IMM
ALU,CMP.IMM,GR,GR,X,VALUE,DST = SRC1 == IMM,CMP SRC1 IMM
LSU,LD,GR,GR,X,OFFSET,DST = [SRC1 + OFFSET],LOAD SRC1 OFFSET
LSU,ST,GR,GR,X,OFFSET,[DST + OFFSET] = SRC1,STORE DST SRC1 OFFSET
ALU,BEQ,OFFSET[13:9],GR,GR,OFFSET[8:0],if (SRC1 == SRC2) PC += sign_extend(OFFSET) * PKG_SIZE,BEQ SRC1 SRC2 OFFSET
ALU,BNE,OFFSET[13:9],GR,GR,OFFSET[8:0],if (SRC1 != SRC2) PC += sign_extend(OFFSET) * PKG_SIZE,BNE SRC1 SRC2 OFFSET
ALU,JMP,GR (must align to PKG_SIZE),X,X,X,PC = DST,JMP DST
ALU,CALL,GR,GR,X,X,DST = PC + PKG_SIZE; PC = SRC1 (SRC1 must align to PKG_SIZE),CALL DST SRC1
FAKE,RET,GR,X,X,X,PC = DST,JMP DST
FAKE,NOP,X,X,X,X,X,NOP
